epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,732.054,0.93351,0.67782,0.99415,0.85237,0.85845,0.91062,0.65461,0.99692,0.76145,1.0641,0.000660045,0.000660045,0.000660045
43,749.041,0.90205,0.6567,0.98521,0.94934,0.82512,0.92933,0.70011,0.91605,0.72312,1.01973,0.000649046,0.000649046,0.000649046
44,765.817,0.92402,0.66387,0.99539,0.95706,0.88166,0.94021,0.70461,0.92483,0.69854,1.03119,0.000638047,0.000638047,0.000638047
45,782.41,0.88525,0.62666,0.97057,0.90856,0.91345,0.95096,0.71966,0.89719,0.66873,1.00335,0.000627048,0.000627048,0.000627048
46,799.735,0.89003,0.62806,0.98084,0.92989,0.88979,0.94945,0.71367,0.92087,0.69029,1.0161,0.000616049,0.000616049,0.000616049
47,815.888,0.88055,0.64613,0.97077,0.86741,0.90999,0.93356,0.69819,0.92916,0.69163,1.03082,0.000605051,0.000605051,0.000605051
48,833.598,0.87085,0.62475,0.96547,0.84243,0.9259,0.93443,0.69913,0.9408,0.7167,1.02541,0.000594052,0.000594052,0.000594052
49,850.298,0.89137,0.62416,0.98182,0.88489,0.90595,0.92335,0.69704,0.92802,0.71612,1.01543,0.000583053,0.000583053,0.000583053
50,866.725,0.86996,0.60647,0.97001,0.90644,0.90913,0.94567,0.69326,0.95239,0.68017,1.02553,0.000572054,0.000572054,0.000572054
51,883.755,0.88603,0.61794,0.97924,0.94113,0.87929,0.9468,0.70458,0.90617,0.6757,0.99714,0.000561055,0.000561055,0.000561055
52,901.022,0.87601,0.61511,0.96012,0.91394,0.88117,0.94107,0.71487,0.91646,0.64333,1.00459,0.000550056,0.000550056,0.000550056
53,917.853,0.85047,0.59481,0.96694,0.91629,0.86009,0.94318,0.69509,0.95979,0.64122,1.03856,0.000539057,0.000539057,0.000539057
54,934.304,0.84164,0.58589,0.95715,0.91468,0.8825,0.95044,0.71592,0.94161,0.6474,1.02256,0.000528058,0.000528058,0.000528058
55,951.716,0.85698,0.60689,0.97199,0.92505,0.8848,0.93781,0.67579,1.01394,0.70491,1.06034,0.000517059,0.000517059,0.000517059
56,968.253,0.84504,0.59886,0.95687,0.89545,0.93278,0.94355,0.68845,0.94728,0.65931,1.02071,0.00050606,0.00050606,0.00050606
57,985.577,0.83813,0.59776,0.95752,0.84312,0.94593,0.94067,0.69928,0.93616,0.67872,1.00632,0.000495062,0.000495062,0.000495062
58,1001.85,0.85069,0.59466,0.95592,0.91551,0.92917,0.96526,0.72438,0.9217,0.63919,1.01616,0.000484063,0.000484063,0.000484063
