epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2988,2.55256,6.20753,1.90451,0.00158,0.03902,0.00136,0.00025,1.83656,4.87587,1.39252,0.000361075,0.000361075,0.000361075
2,36.3675,1.94951,4.45062,1.50587,0.00138,0.20455,0.02644,0.01184,1.76146,4.62816,1.28625,0.000724167,0.000724167,0.000724167
3,46.8566,1.84067,3.85969,1.42465,0.7273,0.20808,0.42139,0.22228,1.69701,3.07243,1.42298,0.00107993,0.00107993,0.00107993
4,56.511,1.70764,3.23456,1.36767,0.48518,0.3144,0.36844,0.195,1.70183,2.20065,1.64689,0.001078,0.001078,0.001078
5,65.5104,1.62831,2.7895,1.32962,0.33319,0.51422,0.46251,0.25141,1.69883,2.20398,1.51861,0.001067,0.001067,0.001067
6,75.194,1.60834,2.58036,1.34644,0.69552,0.57072,0.63372,0.3663,1.43587,1.85663,1.3145,0.00105601,0.00105601,0.00105601
7,84.8389,1.51903,2.31447,1.28288,0.44903,0.64927,0.55291,0.31574,1.54051,2.01125,1.44195,0.00104501,0.00104501,0.00104501
8,94.8284,1.48986,2.07946,1.2815,0.68094,0.55802,0.6262,0.39694,1.41909,1.53831,1.29074,0.00103401,0.00103401,0.00103401
9,105.504,1.39532,1.88257,1.24468,0.70174,0.5793,0.7226,0.40908,1.45683,1.50842,1.32796,0.00102301,0.00102301,0.00102301
10,117.246,1.37041,1.79899,1.21272,0.74553,0.6716,0.77456,0.46363,1.42184,1.56177,1.39331,0.00101201,0.00101201,0.00101201
11,128.428,1.35814,1.65372,1.18891,0.75884,0.75277,0.82572,0.5334,1.42425,1.37376,1.39781,0.00100101,0.00100101,0.00100101
12,140.905,1.34418,1.5746,1.18533,0.8938,0.79109,0.85328,0.53044,1.38714,1.25023,1.36587,0.000990012,0.000990012,0.000990012
13,151.052,1.3331,1.46058,1.20354,0.68477,0.80097,0.80005,0.47551,1.54263,1.46312,1.51069,0.000979013,0.000979013,0.000979013
14,160.451,1.2783,1.38486,1.16691,0.78125,0.73539,0.81243,0.47,1.47236,1.38437,1.41339,0.000968014,0.000968014,0.000968014
15,170.658,1.26131,1.31385,1.15498,0.79799,0.74614,0.8862,0.51759,1.49369,1.29679,1.48751,0.000957015,0.000957015,0.000957015
16,180.909,1.26176,1.25286,1.17143,0.80536,0.75681,0.87118,0.58811,1.26229,1.1977,1.27169,0.000946016,0.000946016,0.000946016
17,190.807,1.25198,1.23032,1.13585,0.89994,0.79049,0.88651,0.53077,1.2725,1.21814,1.22112,0.000935018,0.000935018,0.000935018
18,201.235,1.18157,1.16229,1.10138,0.90159,0.72642,0.89245,0.54525,1.31544,1.20428,1.25697,0.000924019,0.000924019,0.000924019
19,212.234,1.1646,1.1231,1.12134,0.88578,0.80537,0.90322,0.58973,1.25454,1.24663,1.26991,0.00091302,0.00091302,0.00091302
20,221.722,1.1924,1.09159,1.11642,0.79077,0.82595,0.89158,0.59406,1.28915,1.14735,1.29036,0.000902021,0.000902021,0.000902021
21,233.138,1.18408,1.09309,1.10952,0.80814,0.87675,0.901,0.58368,1.21608,1.07058,1.21564,0.000891022,0.000891022,0.000891022
22,243.184,1.16214,1.07401,1.10101,0.73619,0.82159,0.86948,0.54828,1.18211,1.03519,1.20716,0.000880023,0.000880023,0.000880023
23,253.142,1.15437,1.09883,1.0902,0.82157,0.84926,0.88968,0.61646,1.17931,0.99021,1.17319,0.000869024,0.000869024,0.000869024
24,263.372,1.09376,1.03306,1.07791,0.90048,0.80849,0.89924,0.56022,1.24079,1.07233,1.15723,0.000858025,0.000858025,0.000858025
25,272.594,1.10043,0.9728,1.07064,0.89421,0.83201,0.89345,0.59491,1.29203,1.04233,1.26994,0.000847026,0.000847026,0.000847026
26,281.76,1.09182,0.9493,1.06913,0.93122,0.83711,0.89751,0.59038,1.18036,0.98018,1.24855,0.000836027,0.000836027,0.000836027
27,291.183,1.1066,0.9523,1.06696,0.92087,0.82176,0.92194,0.63506,1.1476,0.98987,1.16274,0.000825029,0.000825029,0.000825029
28,300.668,1.10945,0.93686,1.05362,0.92371,0.8444,0.94322,0.63138,1.15844,0.93913,1.20002,0.00081403,0.00081403,0.00081403
29,309.625,1.10892,0.91401,1.06308,0.83519,0.81204,0.91304,0.63249,1.2231,0.92832,1.33044,0.000803031,0.000803031,0.000803031
30,319.14,1.08715,0.90234,1.05926,0.88968,0.87054,0.93075,0.64987,1.18433,0.947,1.24676,0.000792032,0.000792032,0.000792032
31,329.214,1.04805,0.89557,1.04629,0.80508,0.86923,0.90417,0.60954,1.23709,0.97702,1.21529,0.000781033,0.000781033,0.000781033
32,338.58,1.04506,0.91394,1.06565,0.89829,0.86559,0.93692,0.6447,1.14862,0.93435,1.19354,0.000770034,0.000770034,0.000770034
33,348.093,1.07708,0.90042,1.04964,0.93722,0.82512,0.93171,0.64075,1.11693,1.06549,1.16349,0.000759035,0.000759035,0.000759035
34,357.579,1.02537,0.86682,1.03466,0.88967,0.82416,0.91528,0.6298,1.04651,0.93589,1.10176,0.000748036,0.000748036,0.000748036
35,367.634,1.01982,0.85998,1.03584,0.95877,0.80163,0.90632,0.63012,1.16303,0.95228,1.12805,0.000737037,0.000737037,0.000737037
36,377.803,1.01688,0.8725,1.0385,0.87468,0.80825,0.91268,0.61968,1.10859,0.98647,1.14089,0.000726038,0.000726038,0.000726038
37,388.115,0.994,0.82646,1.04048,0.90485,0.84811,0.91066,0.62263,1.16696,1.01771,1.18534,0.00071504,0.00071504,0.00071504
38,397.555,1.00293,0.77569,1.02697,0.94184,0.80317,0.94735,0.64824,1.12053,0.90537,1.14184,0.000704041,0.000704041,0.000704041
39,407.411,0.99265,0.77312,1.01121,0.88833,0.83813,0.92113,0.61219,1.17628,0.91067,1.15258,0.000693042,0.000693042,0.000693042
40,418.001,0.97576,0.80314,1.02043,0.86341,0.92138,0.94646,0.65657,1.10886,0.8937,1.14443,0.000682043,0.000682043,0.000682043
41,428.982,0.9737,0.75501,1.00871,0.8932,0.84451,0.91655,0.64961,1.06289,0.86255,1.11065,0.000671044,0.000671044,0.000671044
42,438.434,1.00772,0.78705,1.03699,0.86136,0.86779,0.94697,0.63365,1.10636,0.93825,1.13016,0.000660045,0.000660045,0.000660045
43,447.692,0.98336,0.78856,1.01633,0.93171,0.8153,0.90298,0.60446,1.12089,0.96382,1.16248,0.000649046,0.000649046,0.000649046
44,456.891,0.95869,0.77614,0.98775,0.82521,0.8777,0.91533,0.627,1.16617,0.90786,1.17902,0.000638047,0.000638047,0.000638047
45,466.191,0.94659,0.74964,0.99228,0.94111,0.89122,0.94764,0.66834,1.13448,0.83729,1.16104,0.000627048,0.000627048,0.000627048
46,475.692,0.92733,0.70775,0.98723,0.93012,0.84451,0.938,0.6364,1.13954,0.83222,1.15016,0.000616049,0.000616049,0.000616049
47,485.16,0.93712,0.7185,0.98449,0.89508,0.89853,0.9485,0.65265,1.14753,0.80733,1.1302,0.000605051,0.000605051,0.000605051
48,494.135,0.93234,0.73377,0.99672,0.87567,0.90356,0.95167,0.65918,1.12472,0.83063,1.11897,0.000594052,0.000594052,0.000594052
49,503.676,0.94777,0.70989,1.00907,0.90946,0.88469,0.93955,0.65752,1.07143,0.82946,1.13697,0.000583053,0.000583053,0.000583053
50,512.992,0.91255,0.69294,0.993,0.88855,0.87129,0.92259,0.65382,1.13531,0.84223,1.14297,0.000572054,0.000572054,0.000572054
51,522.252,0.93671,0.69316,0.99258,0.88151,0.89289,0.93308,0.67993,1.0335,0.79011,1.09656,0.000561055,0.000561055,0.000561055
52,532.633,0.92448,0.68563,0.99318,0.84562,0.88295,0.91735,0.6271,1.16693,0.88441,1.20514,0.000550056,0.000550056,0.000550056
53,542.976,0.8791,0.64903,0.98122,0.92846,0.8631,0.93334,0.65661,1.07959,0.80446,1.13158,0.000539057,0.000539057,0.000539057
54,552.106,0.91064,0.66715,0.98292,0.86621,0.89391,0.93903,0.6538,1.11214,0.84129,1.15636,0.000528058,0.000528058,0.000528058
55,561.907,0.89322,0.66683,0.96903,0.88364,0.88577,0.91784,0.65853,1.11957,0.8776,1.18692,0.000517059,0.000517059,0.000517059
56,571.409,0.85222,0.64718,0.96429,0.85757,0.89129,0.92622,0.65619,1.03271,0.91942,1.14122,0.00050606,0.00050606,0.00050606
57,580.49,0.86489,0.63354,0.95993,0.92717,0.8928,0.94149,0.65927,1.06075,0.811,1.11589,0.000495062,0.000495062,0.000495062
58,589.522,0.86335,0.63391,0.95733,0.93203,0.88087,0.93313,0.67521,1.0966,0.79444,1.13778,0.000484063,0.000484063,0.000484063
59,599.324,0.85048,0.62856,0.95392,0.92662,0.92085,0.95376,0.70524,1.06434,0.80102,1.13402,0.000473064,0.000473064,0.000473064
60,608.439,0.88502,0.6429,0.97559,0.94069,0.88027,0.93928,0.68377,1.15007,0.88561,1.21038,0.000462065,0.000462065,0.000462065
