epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.982,2.86371,7.3102,2.14048,0,0,0,0,2.96656,6.64829,2.0799,0.00019,0.00019,0.00019
2,32.7902,2.18613,5.77448,1.52843,0.00046,0.24991,0.00282,0.00045,2.46852,6.39588,1.5885,0.000386139,0.000386139,0.000386139
3,37.6169,1.99696,4.86321,1.47176,0.00075,0.20225,0.00138,0.00046,2.52166,5.6141,2.03476,0.000578318,0.000578318,0.000578318
4,42.0379,1.79869,4.18675,1.31339,0.00138,0.4888,0.13509,0.07698,2.08853,4.63948,1.33727,0.000766537,0.000766537,0.000766537
5,47.3127,1.75094,4.00048,1.30935,0.47107,0.25335,0.30613,0.1939,2.46997,3.88417,1.46971,0.000950796,0.000950796,0.000950796
6,52.16,1.64499,3.45192,1.25487,0.68472,0.21883,0.46818,0.26867,2.25607,3.15202,1.64133,0.0009505,0.0009505,0.0009505
7,56.9277,1.58812,3.12687,1.23682,0.39107,0.47008,0.53745,0.32859,2.23421,2.70254,1.84463,0.0009406,0.0009406,0.0009406
8,61.4006,1.53001,2.97733,1.21395,0.35709,0.67529,0.56396,0.36145,2.17482,2.45599,1.64203,0.0009307,0.0009307,0.0009307
9,66.1702,1.39212,2.60937,1.1682,0.74093,0.601,0.71924,0.46676,2.1675,2.07787,1.51162,0.0009208,0.0009208,0.0009208
10,70.521,1.39637,2.63958,1.15344,0.56457,0.63893,0.66946,0.42868,2.28725,2.23615,1.67,0.0009109,0.0009109,0.0009109
11,75.5756,1.35142,2.39834,1.1293,0.61508,0.76581,0.72612,0.48331,2.16567,2.22453,1.44737,0.000901,0.000901,0.000901
12,80.2213,1.34109,2.27345,1.14598,0.78865,0.79292,0.81835,0.52712,2.15984,1.83272,1.39384,0.0008911,0.0008911,0.0008911
13,85.0527,1.32619,2.13456,1.14317,0.87942,0.69532,0.85576,0.55689,2.16888,1.60806,1.42118,0.0008812,0.0008812,0.0008812
14,89.6207,1.26224,1.99879,1.10884,0.87754,0.74449,0.83812,0.58488,2.13714,1.6041,1.40984,0.0008713,0.0008713,0.0008713
15,94.1223,1.24296,1.89727,1.09588,0.61864,0.7565,0.80642,0.55844,2.16903,1.78169,1.53537,0.0008614,0.0008614,0.0008614
16,98.9872,1.20226,1.83658,1.09934,0.78903,0.75694,0.82353,0.58479,2.07478,1.49408,1.44827,0.0008515,0.0008515,0.0008515
17,103.52,1.19641,1.70624,1.08007,0.67399,0.7452,0.81252,0.58649,2.1562,1.73994,1.28517,0.0008416,0.0008416,0.0008416
18,108.501,1.2082,1.81826,1.08945,0.80257,0.69358,0.85748,0.58174,1.80256,2.7589,1.12408,0.0008317,0.0008317,0.0008317
19,112.98,1.14671,1.69462,1.05947,0.79094,0.73286,0.85808,0.59012,2.14239,2.02669,1.47834,0.0008218,0.0008218,0.0008218
20,119.004,1.07522,1.53709,1.03653,0.83609,0.7356,0.82296,0.55626,2.29811,1.87544,1.63143,0.0008119,0.0008119,0.0008119
21,123.495,1.10375,1.47248,1.04817,0.90786,0.797,0.88264,0.63803,2.13567,1.47183,1.4636,0.000802,0.000802,0.000802
22,128.312,1.10877,1.45931,1.0484,0.85946,0.77526,0.86657,0.60854,1.70774,1.51379,1.22849,0.0007921,0.0007921,0.0007921
23,132.642,1.05454,1.37543,1.00932,0.826,0.79369,0.90339,0.63824,1.89036,1.58231,1.24521,0.0007822,0.0007822,0.0007822
24,138.303,1.08891,1.40723,1.03382,0.867,0.83556,0.85423,0.6353,1.93538,1.14356,1.29444,0.0007723,0.0007723,0.0007723
25,142.572,1.0408,1.3136,1.00465,0.89454,0.8195,0.91066,0.63523,1.79647,1.19677,1.17313,0.0007624,0.0007624,0.0007624
26,147.067,1.03062,1.24429,1.0033,0.85633,0.80595,0.89906,0.63744,2.06644,1.33796,1.50664,0.0007525,0.0007525,0.0007525
27,151.211,1.01745,1.2721,1.00188,0.87275,0.85368,0.91821,0.66641,2.01278,1.19414,1.5282,0.0007426,0.0007426,0.0007426
28,155.746,1.00189,1.21119,0.98667,0.90355,0.72083,0.89049,0.65718,2.12409,1.32991,1.48223,0.0007327,0.0007327,0.0007327
29,159.857,1.03865,1.21163,0.9902,0.87649,0.75955,0.87636,0.61541,1.70096,1.30076,1.14529,0.0007228,0.0007228,0.0007228
30,164.143,0.98494,1.13045,0.9702,0.86173,0.82984,0.87746,0.63159,1.85373,1.24855,1.17545,0.0007129,0.0007129,0.0007129
31,169.21,0.96405,1.11518,0.97126,0.85115,0.80869,0.89524,0.63756,1.88981,1.23861,1.37589,0.000703,0.000703,0.000703
32,173.446,0.96806,1.05677,0.97246,0.96245,0.79826,0.91976,0.65405,1.78602,1.04146,1.23699,0.0006931,0.0006931,0.0006931
33,178.054,0.94911,1.04,0.96219,0.88756,0.89165,0.93982,0.66607,1.81973,1.10462,1.24617,0.0006832,0.0006832,0.0006832
34,182.474,0.9259,1.02711,0.97089,0.8309,0.90482,0.9334,0.68255,1.76654,1.09181,1.35682,0.0006733,0.0006733,0.0006733
35,187.259,0.98904,1.00358,0.98075,0.87238,0.89645,0.94247,0.66233,1.78494,1.06487,1.28518,0.0006634,0.0006634,0.0006634
36,191.4,0.92861,1.0473,0.96419,0.88771,0.90714,0.93721,0.64904,1.81174,0.97576,1.15677,0.0006535,0.0006535,0.0006535
37,196.67,0.93009,0.99878,0.94927,0.87931,0.83179,0.91236,0.6481,1.84208,1.21807,1.30438,0.0006436,0.0006436,0.0006436
38,200.985,0.90884,0.9233,0.94404,0.92327,0.80691,0.91652,0.68379,1.84573,1.31103,1.31506,0.0006337,0.0006337,0.0006337
39,205.551,0.92447,1.00129,0.94737,0.9338,0.80137,0.90975,0.70626,1.98894,1.39141,1.38486,0.0006238,0.0006238,0.0006238
40,209.767,0.88292,0.92966,0.93088,0.88111,0.87504,0.92454,0.64369,2.03131,1.25728,1.47324,0.0006139,0.0006139,0.0006139
41,213.888,0.90089,0.92229,0.94803,0.88338,0.84343,0.90056,0.64905,1.9971,1.42516,1.36352,0.000604,0.000604,0.000604
42,218.482,0.88326,0.88331,0.9264,0.89132,0.88159,0.91863,0.67227,1.99072,1.2165,1.33195,0.0005941,0.0005941,0.0005941
43,222.59,0.87452,0.89812,0.93746,0.90357,0.8743,0.91305,0.69014,2.04794,1.22117,1.30916,0.0005842,0.0005842,0.0005842
44,227.486,0.87424,0.90633,0.93668,0.94897,0.79463,0.8987,0.64859,2.10268,1.72687,1.44557,0.0005743,0.0005743,0.0005743
45,233.282,0.84604,0.84577,0.9171,0.96819,0.83796,0.91267,0.66525,1.93812,1.25207,1.35925,0.0005644,0.0005644,0.0005644
46,239.651,0.84112,0.85815,0.92105,0.97988,0.80621,0.90981,0.69932,1.75645,1.17097,1.21039,0.0005545,0.0005545,0.0005545
47,243.929,0.82251,0.78641,0.92468,0.95457,0.80079,0.89988,0.68978,1.72282,1.19426,1.27211,0.0005446,0.0005446,0.0005446
48,249.372,0.82911,0.81744,0.92134,0.89167,0.8732,0.92065,0.66975,1.78333,1.00902,1.31575,0.0005347,0.0005347,0.0005347
49,254.064,0.8525,0.85788,0.93197,0.89099,0.83874,0.86799,0.66323,1.84668,1.07959,1.34158,0.0005248,0.0005248,0.0005248
50,259.558,0.82459,0.78564,0.91835,0.92076,0.8414,0.90267,0.71054,1.89838,1.10876,1.36829,0.0005149,0.0005149,0.0005149
51,263.859,0.81296,0.80986,0.9262,0.85138,0.88159,0.91507,0.7172,1.90748,1.32385,1.3815,0.000505,0.000505,0.000505
