second,timestamp_hhmmss,label,class,confidence,bbox,frame
73,00:01:13,Frazier,1,0.913818,"[0.602297, 0.503472, 0.0915658, 0.166205]",2191
74,00:01:14,Frazier,1,0.882145,"[0.60274, 0.503708, 0.0909206, 0.167402]",2233
75,00:01:15,Frazier,1,0.928964,"[0.60159, 0.500504, 0.090102, 0.171884]",2267
76,00:01:16,Frazier,1,0.920919,"[0.602097, 0.500976, 0.0928196, 0.172034]",2280
77,00:01:17,Frazier,1,0.885999,"[0.604416, 0.495877, 0.0939079, 0.181467]",2335
78,00:01:18,Frazier,1,0.907584,"[0.600473, 0.503435, 0.0961268, 0.166664]",2345
79,00:01:19,Frazier,1,0.91103,"[0.600415, 0.501454, 0.0951923, 0.172068]",2374
80,00:01:20,Frazier,1,0.930455,"[0.614427, 0.500265, 0.0802147, 0.17338]",2426
81,00:01:21,Frazier,1,0.939948,"[0.613338, 0.496859, 0.0817459, 0.180282]",2453
82,00:01:22,Frazier,1,0.935511,"[0.602254, 0.507765, 0.0959592, 0.157959]",2468
83,00:01:23,Frazier,1,0.863913,"[0.58815, 0.527178, 0.108202, 0.117956]",2517
84,00:01:24,Frazier,1,0.867499,"[0.58896, 0.532003, 0.106494, 0.112821]",2524
85,00:01:25,Frazier,1,0.908796,"[0.591148, 0.523458, 0.107999, 0.126733]",2574
86,00:01:26,Frazier,1,0.930022,"[0.600099, 0.513631, 0.099917, 0.142235]",2599
87,00:01:27,Frazier,1,0.950964,"[0.603215, 0.505382, 0.0983156, 0.162702]",2623
88,00:01:28,Frazier,1,0.92744,"[0.610742, 0.500758, 0.084651, 0.172901]",2667
89,00:01:29,Frazier,1,0.936452,"[0.612779, 0.505874, 0.0770371, 0.160536]",2690
90,00:01:30,Frazier,1,0.946183,"[0.611986, 0.504595, 0.083046, 0.161547]",2715
91,00:01:31,Frazier,1,0.943108,"[0.618947, 0.501153, 0.0720514, 0.161529]",2758
92,00:01:32,Frazier,1,0.946884,"[0.621056, 0.501712, 0.0663666, 0.157193]",2789
93,00:01:33,Frazier,1,0.949975,"[0.619177, 0.501646, 0.0692261, 0.158413]",2790
94,00:01:34,Frazier,1,0.944609,"[0.622039, 0.51226, 0.0692261, 0.136623]",2833
95,00:01:35,Frazier,1,0.937054,"[0.616681, 0.502611, 0.0756395, 0.154222]",2852
96,00:01:36,Frazier,1,0.913782,"[0.609648, 0.505296, 0.0891544, 0.152036]",2895
97,00:01:37,Frazier,1,0.922583,"[0.603135, 0.514673, 0.0986321, 0.140687]",2919
98,00:01:38,Frazier,1,0.900777,"[0.599054, 0.509604, 0.102741, 0.153696]",2941
99,00:01:39,Frazier,1,0.900145,"[0.597709, 0.512053, 0.102615, 0.151108]",2999
100,00:01:40,Frazier,1,0.900321,"[0.597708, 0.512069, 0.102201, 0.152349]",3002
101,00:01:41,Frazier,1,0.904295,"[0.599102, 0.513069, 0.100656, 0.146164]",3048
102,00:01:42,Frazier,1,0.892997,"[0.58603, 0.505607, 0.106898, 0.154289]",3061
105,00:01:45,Forceps,2,0.929821,"[0.618101, 0.506993, 0.0763682, 0.144756]",3179
106,00:01:46,Forceps,2,0.941409,"[0.618949, 0.504775, 0.077437, 0.143215]",3181
107,00:01:47,Forceps,2,0.869689,"[0.611439, 0.521089, 0.0969477, 0.108976]",3233
108,00:01:48,Forceps,2,0.88093,"[0.611823, 0.528761, 0.0933449, 0.0973824]",3248
109,00:01:49,Forceps,2,0.882866,"[0.606302, 0.508065, 0.101215, 0.128664]",3293
110,00:01:50,Forceps,2,0.863934,"[0.610194, 0.518984, 0.0952063, 0.112094]",3321
111,00:01:51,Forceps,2,0.918167,"[0.617821, 0.526893, 0.0833298, 0.0938319]",3348
112,00:01:52,Forceps,2,0.906562,"[0.609999, 0.506973, 0.0909057, 0.141901]",3361
114,00:01:54,Frazier,1,0.86978,"[0.590803, 0.491075, 0.0922825, 0.131021]",3447
115,00:01:55,Frazier,1,0.921997,"[0.604807, 0.503187, 0.0868492, 0.150235]",3465
116,00:01:56,Frazier,1,0.870921,"[0.614557, 0.472369, 0.0828991, 0.207987]",3509
117,00:01:57,Frazier,1,0.891799,"[0.607843, 0.501695, 0.0939764, 0.150228]",3537
118,00:01:58,Frazier,1,0.887463,"[0.609578, 0.500503, 0.091658, 0.153151]",3542
119,00:01:59,Frazier,1,0.888699,"[0.605872, 0.508749, 0.088976, 0.144684]",3594
120,00:02:00,Frazier,1,0.903781,"[0.609798, 0.510664, 0.0841924, 0.142701]",3626
