second,timestamp_hhmmss,label,class,confidence,bbox,frame
6,00:00:06,Frazier,1,0.759099,"[0.709384, 0.452936, 0.0428007, 0.189189]",206
7,00:00:07,Frazier,1,0.704474,"[0.713626, 0.447526, 0.0389451, 0.194187]",213
8,00:00:08,Frazier,1,0.868731,"[0.708856, 0.462233, 0.0419601, 0.158229]",261
9,00:00:09,Frazier,1,0.800317,"[0.709957, 0.460804, 0.0413466, 0.163645]",298
10,00:00:10,Frazier,1,0.78546,"[0.710428, 0.46162, 0.0415031, 0.161229]",300
11,00:00:11,Frazier,1,0.855872,"[0.710888, 0.469571, 0.0412556, 0.144286]",338
12,00:00:12,Frazier,1,0.833015,"[0.670427, 0.488954, 0.11335, 0.129584]",380
13,00:00:13,Frazier,1,0.731811,"[0.680494, 0.472534, 0.100478, 0.136466]",390
14,00:00:14,Frazier,1,0.828502,"[0.736314, 0.4342, 0.033683, 0.209635]",431
15,00:00:15,Frazier,1,0.81136,"[0.709746, 0.470211, 0.0403667, 0.14727]",473
16,00:00:16,Frazier,1,0.85013,"[0.690988, 0.466569, 0.0794123, 0.144822]",497
17,00:00:17,Frazier,1,0.748155,"[0.681874, 0.483574, 0.0990836, 0.13024]",531
18,00:00:18,Frazier,1,0.81218,"[0.689714, 0.462022, 0.0806765, 0.143067]",548
19,00:00:19,Frazier,1,0.769165,"[0.684924, 0.45502, 0.0888751, 0.155834]",599
20,00:00:20,Frazier,1,0.8461,"[0.684114, 0.474526, 0.0924055, 0.131146]",612
21,00:00:21,Frazier,1,0.769688,"[0.676875, 0.483993, 0.104725, 0.122829]",649
22,00:00:22,Frazier,1,0.775219,"[0.67736, 0.481389, 0.102187, 0.119846]",668
23,00:00:23,Frazier,1,0.858916,"[0.685945, 0.463668, 0.0843562, 0.150991]",706
24,00:00:24,Frazier,1,0.806603,"[0.680266, 0.480348, 0.0980616, 0.131564]",747
25,00:00:25,Frazier,1,0.764885,"[0.671907, 0.492728, 0.112227, 0.0976578]",758
26,00:00:26,Frazier,1,0.851026,"[0.670994, 0.486349, 0.114842, 0.125411]",797
27,00:00:27,Frazier,1,0.713322,"[0.712341, 0.472655, 0.0387803, 0.142916]",822
28,00:00:28,Frazier,1,0.776048,"[0.694769, 0.473128, 0.0662371, 0.146853]",868
29,00:00:29,Frazier,1,0.730496,"[0.695086, 0.472838, 0.0659342, 0.147443]",870
30,00:00:30,Frazier,1,0.729262,"[0.708629, 0.467834, 0.0438259, 0.151859]",917
38,00:00:38,Forceps,2,0.915013,"[0.664945, 0.469747, 0.123853, 0.137386]",1168
39,00:00:39,Forceps,2,0.899978,"[0.666503, 0.472258, 0.122503, 0.137804]",1171
40,00:00:40,Forceps,2,0.895419,"[0.684091, 0.479308, 0.090412, 0.128801]",1226
41,00:00:41,Forceps,2,0.936875,"[0.686143, 0.476022, 0.0859055, 0.134565]",1238
42,00:00:42,Forceps,2,0.871146,"[0.667316, 0.481129, 0.124986, 0.138908]",1276
54,00:00:54,Bovie,0,0.88435,"[0.641504, 0.423074, 0.170702, 0.249883]",1648
55,00:00:55,Bovie,0,0.946957,"[0.668967, 0.402001, 0.113483, 0.297778]",1671
56,00:00:56,Bovie,0,0.894839,"[0.673145, 0.41408, 0.103321, 0.287434]",1708
57,00:00:57,Bovie,0,0.91237,"[0.679455, 0.40404, 0.0838278, 0.302753]",1731
58,00:00:58,Bovie,0,0.904222,"[0.67612, 0.412881, 0.0902269, 0.29424]",1740
59,00:00:59,Bovie,0,0.875975,"[0.672576, 0.415784, 0.101327, 0.278849]",1788
60,00:01:00,Bovie,0,0.899205,"[0.671239, 0.414738, 0.105208, 0.275455]",1820
61,00:01:01,Bovie,0,0.89886,"[0.678535, 0.406671, 0.093568, 0.299391]",1859
62,00:01:02,Bovie,0,0.949476,"[0.685632, 0.400056, 0.0824547, 0.300588]",1884
63,00:01:03,Bovie,0,0.938746,"[0.682054, 0.404314, 0.0899998, 0.297173]",1896
64,00:01:04,Bovie,0,0.920199,"[0.677745, 0.407743, 0.0972107, 0.298767]",1926
65,00:01:05,Bovie,0,0.919047,"[0.678664, 0.406983, 0.0963305, 0.293741]",1951
66,00:01:06,Bovie,0,0.948786,"[0.683326, 0.392288, 0.0897898, 0.312641]",1999
67,00:01:07,Bovie,0,0.93249,"[0.692139, 0.394361, 0.0749476, 0.315555]",2022
68,00:01:08,Bovie,0,0.933979,"[0.691446, 0.397552, 0.0771793, 0.304492]",2060
69,00:01:09,Bovie,0,0.9487,"[0.683749, 0.398722, 0.0910257, 0.304281]",2098
70,00:01:10,Bovie,0,0.950613,"[0.686269, 0.399133, 0.0857288, 0.297628]",2128
71,00:01:11,Bovie,0,0.950185,"[0.686458, 0.399882, 0.0851933, 0.29705]",2130
72,00:01:12,Bovie,0,0.918769,"[0.694681, 0.392154, 0.0764382, 0.312587]",2160
73,00:01:13,Bovie,0,0.923934,"[0.694606, 0.39529, 0.0745752, 0.30791]",2192
74,00:01:14,Bovie,0,0.921523,"[0.694875, 0.395025, 0.0743818, 0.307719]",2238
75,00:01:15,Bovie,0,0.92403,"[0.694999, 0.394349, 0.074062, 0.308124]",2254
76,00:01:16,Bovie,0,0.928624,"[0.694499, 0.396185, 0.0732086, 0.304894]",2299
77,00:01:17,Bovie,0,0.926183,"[0.694905, 0.397528, 0.0723227, 0.304248]",2312
78,00:01:18,Bovie,0,0.949569,"[0.687352, 0.4012, 0.085075, 0.289438]",2360
79,00:01:19,Bovie,0,0.952222,"[0.684295, 0.403496, 0.0894268, 0.286021]",2382
80,00:01:20,Bovie,0,0.953566,"[0.684081, 0.402147, 0.0885938, 0.290971]",2402
81,00:01:21,Bovie,0,0.946391,"[0.687115, 0.403576, 0.085577, 0.288794]",2459
82,00:01:22,Bovie,0,0.948644,"[0.685298, 0.404134, 0.0880497, 0.286314]",2461
83,00:01:23,Bovie,0,0.935757,"[0.688753, 0.416489, 0.0831871, 0.264548]",2496
84,00:01:24,Bovie,0,0.94857,"[0.686899, 0.402132, 0.08429, 0.292626]",2528
85,00:01:25,Bovie,0,0.922928,"[0.689312, 0.413552, 0.0817556, 0.280544]",2578
86,00:01:26,Bovie,0,0.945785,"[0.687569, 0.40129, 0.0825018, 0.296375]",2593
87,00:01:27,Bovie,0,0.953239,"[0.682314, 0.399872, 0.095636, 0.29639]",2626
88,00:01:28,Bovie,0,0.951411,"[0.684632, 0.40361, 0.0894286, 0.290598]",2669
89,00:01:29,Bovie,0,0.951754,"[0.686132, 0.403711, 0.0862902, 0.291903]",2670
90,00:01:30,Bovie,0,0.867903,"[0.702927, 0.392467, 0.0578489, 0.318353]",2706
91,00:01:31,Bovie,0,0.862336,"[0.702229, 0.401815, 0.058336, 0.285353]",2744
92,00:01:32,Bovie,0,0.746262,"[0.695558, 0.427155, 0.0680604, 0.24051]",2773
93,00:01:33,Bovie,0,0.94896,"[0.681845, 0.393833, 0.0940109, 0.311123]",2815
94,00:01:34,Bovie,0,0.864288,"[0.704018, 0.395068, 0.0553544, 0.310623]",2830
95,00:01:35,Bovie,0,0.918233,"[0.691689, 0.41353, 0.0736057, 0.266157]",2879
96,00:01:36,Bovie,0,0.9213,"[0.691109, 0.41444, 0.0745632, 0.267263]",2880
97,00:01:37,Bovie,0,0.808384,"[0.681454, 0.43341, 0.0950131, 0.247259]",2939
98,00:01:38,Bovie,0,0.85062,"[0.681125, 0.433394, 0.0956982, 0.244705]",2945
99,00:01:39,Bovie,0,0.945048,"[0.681685, 0.393292, 0.095536, 0.307879]",2999
100,00:01:40,Bovie,0,0.943857,"[0.684197, 0.392326, 0.091347, 0.314134]",3002
101,00:01:41,Bovie,0,0.953057,"[0.681842, 0.393647, 0.0924493, 0.309792]",3050
105,00:01:45,Bovie,0,0.897938,"[0.670269, 0.439482, 0.112604, 0.21645]",3154
106,00:01:46,Bovie,0,0.946798,"[0.686137, 0.40491, 0.0852786, 0.297019]",3199
107,00:01:47,Bovie,0,0.939576,"[0.685328, 0.410318, 0.090677, 0.285862]",3210
108,00:01:48,Bovie,0,0.947653,"[0.666774, 0.4346, 0.118838, 0.222467]",3260
109,00:01:49,Bovie,0,0.941796,"[0.669591, 0.402394, 0.113292, 0.295241]",3276
110,00:01:50,Frazier,1,0.836495,"[0.678412, 0.484688, 0.0959728, 0.123493]",3320
111,00:01:51,Frazier,1,0.835413,"[0.677194, 0.490723, 0.0977528, 0.118155]",3341
112,00:01:52,Frazier,1,0.863094,"[0.680082, 0.490523, 0.0968323, 0.0993974]",3388
113,00:01:53,Frazier,1,0.836358,"[0.661207, 0.452439, 0.122634, 0.17239]",3415
114,00:01:54,Frazier,1,0.890975,"[0.673246, 0.449121, 0.110182, 0.2038]",3439
115,00:01:55,Frazier,1,0.858549,"[0.710772, 0.442376, 0.0474411, 0.212866]",3472
116,00:01:56,Frazier,1,0.825702,"[0.685128, 0.490092, 0.0886232, 0.0987144]",3483
117,00:01:57,Frazier,1,0.892232,"[0.683296, 0.474417, 0.0932552, 0.141768]",3537
118,00:01:58,Frazier,1,0.909844,"[0.68329, 0.4794, 0.0913506, 0.135232]",3547
119,00:01:59,Frazier,1,0.917258,"[0.697972, 0.464184, 0.0688611, 0.157526]",3586
120,00:02:00,Frazier,1,0.92101,"[0.665392, 0.485969, 0.12614, 0.136093]",3623
121,00:02:01,Frazier,1,0.900162,"[0.689527, 0.467629, 0.080445, 0.159104]",3645
122,00:02:02,Frazier,1,0.923582,"[0.666506, 0.48421, 0.124195, 0.134597]",3670
123,00:02:03,Frazier,1,0.893993,"[0.699489, 0.464765, 0.0640358, 0.158362]",3693
124,00:02:04,Frazier,1,0.889964,"[0.663785, 0.487369, 0.125108, 0.1306]",3720
125,00:02:05,Frazier,1,0.896793,"[0.697747, 0.462977, 0.0689223, 0.162622]",3770
126,00:02:06,Frazier,1,0.890394,"[0.700448, 0.464979, 0.0650664, 0.159734]",3809
127,00:02:07,Frazier,1,0.903177,"[0.69856, 0.465868, 0.0682041, 0.157271]",3813
128,00:02:08,Frazier,1,0.889172,"[0.6831, 0.467861, 0.0905212, 0.159398]",3855
129,00:02:09,Frazier,1,0.894562,"[0.696356, 0.46459, 0.0692995, 0.160688]",3879
130,00:02:10,Frazier,1,0.875538,"[0.682431, 0.471316, 0.0963078, 0.151257]",3900
131,00:02:11,Frazier,1,0.901915,"[0.691455, 0.466778, 0.0744648, 0.156254]",3958
132,00:02:12,Frazier,1,0.902039,"[0.691851, 0.466513, 0.0738676, 0.156848]",3960
133,00:02:13,Frazier,1,0.881141,"[0.679527, 0.478263, 0.102789, 0.147709]",4016
134,00:02:14,Frazier,1,0.896174,"[0.689802, 0.467981, 0.0786614, 0.157244]",4020
135,00:02:15,Frazier,1,0.88535,"[0.696797, 0.463982, 0.0684639, 0.16276]",4053
136,00:02:16,Frazier,1,0.875538,"[0.68118, 0.469563, 0.0954861, 0.164671]",4082
137,00:02:17,Frazier,1,0.890484,"[0.679292, 0.470672, 0.102841, 0.160065]",4125
138,00:02:18,Frazier,1,0.883793,"[0.681785, 0.460311, 0.0925632, 0.172483]",4159
139,00:02:19,Frazier,1,0.896682,"[0.685669, 0.469823, 0.085849, 0.14629]",4174
140,00:02:20,Frazier,1,0.891023,"[0.696656, 0.467653, 0.069747, 0.15567]",4200
141,00:02:21,Frazier,1,0.906024,"[0.670188, 0.466903, 0.116466, 0.167864]",4244
142,00:02:22,Frazier,1,0.876532,"[0.693859, 0.455638, 0.0775171, 0.164772]",4285
143,00:02:23,Frazier,1,0.886288,"[0.689039, 0.46428, 0.0796898, 0.172848]",4290
144,00:02:24,Frazier,1,0.839723,"[0.69087, 0.457338, 0.078746, 0.156659]",4341
145,00:02:25,Frazier,1,0.816377,"[0.695407, 0.466906, 0.0685366, 0.135068]",4354
146,00:02:26,Frazier,1,0.868068,"[0.694071, 0.46045, 0.0743803, 0.14492]",4386
147,00:02:27,Frazier,1,0.864789,"[0.69043, 0.466394, 0.0770414, 0.162582]",4420
148,00:02:28,Frazier,1,0.861455,"[0.694331, 0.463699, 0.0753953, 0.157103]",4440
149,00:02:29,Frazier,1,0.823936,"[0.691648, 0.468027, 0.0758372, 0.139544]",4497
150,00:02:30,Frazier,1,0.822747,"[0.680224, 0.492916, 0.0907974, 0.101423]",4528
151,00:02:31,Frazier,1,0.829688,"[0.679845, 0.493412, 0.0922491, 0.0994905]",4530
152,00:02:32,Frazier,1,0.789534,"[0.681914, 0.496143, 0.0889537, 0.104635]",4560
153,00:02:33,Frazier,1,0.816172,"[0.681424, 0.494892, 0.0906892, 0.101058]",4609
154,00:02:34,Frazier,1,0.755085,"[0.678869, 0.493331, 0.0937622, 0.119005]",4648
155,00:02:35,Frazier,1,0.825355,"[0.678492, 0.49948, 0.0950494, 0.0927595]",4677
169,00:02:49,Forceps,2,0.877143,"[0.687564, 0.464502, 0.0869752, 0.15559]",5084
170,00:02:50,Forceps,2,0.813701,"[0.688194, 0.480818, 0.0824839, 0.130577]",5111
