second,timestamp_hhmmss,label,class,confidence,bbox,frame
0,00:00:00,Microdebrider,3,0.943159,"[0.564901, 0.533774, 0.105985, 0.238781]",1
1,00:00:01,Microdebrider,3,0.943245,"[0.564653, 0.537167, 0.107426, 0.236999]",55
2,00:00:02,Microdebrider,3,0.942762,"[0.564735, 0.537179, 0.106633, 0.237063]",64
3,00:00:03,Microdebrider,3,0.943192,"[0.564313, 0.538714, 0.106016, 0.232996]",107
4,00:00:04,Microdebrider,3,0.935088,"[0.561438, 0.537881, 0.110651, 0.230227]",148
5,00:00:05,Microdebrider,3,0.946401,"[0.56588, 0.53356, 0.108071, 0.245335]",177
6,00:00:06,Microdebrider,3,0.944285,"[0.56607, 0.524689, 0.106834, 0.261156]",182
7,00:00:07,Microdebrider,3,0.943804,"[0.56555, 0.537917, 0.108354, 0.230462]",218
8,00:00:08,Microdebrider,3,0.939707,"[0.564425, 0.536296, 0.114738, 0.23979]",247
9,00:00:09,Microdebrider,3,0.939795,"[0.564267, 0.541039, 0.114124, 0.231168]",284
10,00:00:10,Microdebrider,3,0.941218,"[0.563828, 0.54692, 0.116988, 0.221584]",322
11,00:00:11,Microdebrider,3,0.933137,"[0.566419, 0.544712, 0.109467, 0.224178]",332
12,00:00:12,Microdebrider,3,0.941673,"[0.563882, 0.548608, 0.116646, 0.218303]",376
13,00:00:13,Microdebrider,3,0.942426,"[0.565305, 0.54065, 0.109263, 0.228925]",409
14,00:00:14,Microdebrider,3,0.941189,"[0.559832, 0.553049, 0.124224, 0.207679]",440
15,00:00:15,Microdebrider,3,0.941041,"[0.560816, 0.5492, 0.124831, 0.216426]",451
16,00:00:16,Microdebrider,3,0.938469,"[0.558668, 0.5531, 0.12867, 0.209803]",491
17,00:00:17,Microdebrider,3,0.938084,"[0.559281, 0.55521, 0.127198, 0.206848]",523
18,00:00:18,Microdebrider,3,0.932045,"[0.562394, 0.559502, 0.121213, 0.199121]",567
19,00:00:19,Microdebrider,3,0.934923,"[0.563665, 0.555844, 0.117409, 0.205807]",576
20,00:00:20,Microdebrider,3,0.93642,"[0.561872, 0.553786, 0.122029, 0.20893]",628
21,00:00:21,Microdebrider,3,0.936732,"[0.561723, 0.553664, 0.121353, 0.208857]",630
22,00:00:22,Microdebrider,3,0.942351,"[0.565938, 0.536028, 0.110222, 0.242173]",685
