epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5213,2.55817,6.18626,1.96318,0.00064,0.21485,0.00174,0.00027,1.78798,4.94447,1.47859,0.000361075,0.000361075,0.000361075
2,34.0444,1.96367,4.40433,1.5847,0.00126,0.15606,0.01794,0.0083,1.61402,4.68708,1.43072,0.000724167,0.000724167,0.000724167
3,43.843,1.82609,3.68417,1.45047,0.6386,0.3,0.27115,0.11342,1.69547,2.87083,1.55235,0.00107993,0.00107993,0.00107993
4,53.6762,1.7299,3.10002,1.41485,0.65081,0.35,0.40709,0.22832,1.59785,1.96701,1.56722,0.001078,0.001078,0.001078
5,64.3177,1.63341,2.69085,1.36351,0.59262,0.5175,0.47256,0.26855,1.58122,1.5088,1.45361,0.001067,0.001067,0.001067
6,75.7882,1.58279,2.39907,1.37443,0.7446,0.49836,0.64866,0.37393,1.50968,1.81346,1.45187,0.00105601,0.00105601,0.00105601
7,87.9636,1.55032,2.10344,1.33841,0.62491,0.669,0.70864,0.40914,1.49442,1.59143,1.45034,0.00104501,0.00104501,0.00104501
8,99.332,1.49973,1.91704,1.32106,0.77736,0.7044,0.80405,0.47051,1.39244,1.28844,1.40553,0.00103401,0.00103401,0.00103401
9,109.994,1.41695,1.77343,1.28855,0.79395,0.56885,0.7224,0.41785,1.37705,1.36403,1.34709,0.00102301,0.00102301,0.00102301
10,119.516,1.40301,1.70234,1.26992,0.70046,0.77711,0.80894,0.49459,1.30469,1.25202,1.33929,0.00101201,0.00101201,0.00101201
11,129.487,1.35801,1.49878,1.22476,0.73771,0.76421,0.8099,0.52718,1.27438,1.28312,1.29654,0.00100101,0.00100101,0.00100101
12,139.846,1.35152,1.4678,1.21521,0.80688,0.73745,0.83588,0.55584,1.25402,1.2326,1.29942,0.000990012,0.000990012,0.000990012
13,150.158,1.32261,1.39886,1.24669,0.70788,0.87932,0.86714,0.54599,1.34089,1.19578,1.35769,0.000979013,0.000979013,0.000979013
14,160.986,1.28076,1.31679,1.21078,0.8491,0.78144,0.902,0.58667,1.20964,1.06042,1.24691,0.000968014,0.000968014,0.000968014
