epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1170.01,0.868,0.61617,0.97046,0.92016,0.93035,0.96344,0.75066,0.88821,0.63358,1.02325,0.000660045,0.000660045,0.000660045
43,1194.25,0.86462,0.59315,0.96186,0.95666,0.88452,0.96537,0.73133,0.86915,0.58253,1.02521,0.000649046,0.000649046,0.000649046
44,1217.83,0.83876,0.58891,0.95827,0.93094,0.9518,0.97507,0.7398,0.90488,0.57875,1.04642,0.000638047,0.000638047,0.000638047
45,1240.87,0.83767,0.58491,0.96492,0.94078,0.93163,0.98621,0.74422,0.96673,0.57921,1.08517,0.000627048,0.000627048,0.000627048
46,1265.6,0.83205,0.58586,0.95754,0.92515,0.922,0.96187,0.73516,0.9128,0.60636,1.04009,0.000616049,0.000616049,0.000616049
47,1288.72,0.82854,0.57718,0.95166,0.89899,0.90289,0.96877,0.7533,0.85852,0.62053,1.02342,0.000605051,0.000605051,0.000605051
48,1311.92,0.82256,0.56328,0.95517,0.96658,0.91721,0.97479,0.76615,0.86597,0.55021,1.02513,0.000594052,0.000594052,0.000594052
49,1335.79,0.81813,0.5517,0.95701,0.95181,0.89727,0.96494,0.73513,0.85598,0.60145,1.02806,0.000583053,0.000583053,0.000583053
50,1359.05,0.8,0.54839,0.9491,0.92331,0.93532,0.97239,0.75282,0.84091,0.56017,1.00919,0.000572054,0.000572054,0.000572054
51,1382.8,0.83636,0.56669,0.95626,0.92625,0.94012,0.97789,0.74818,0.86004,0.54974,1.01679,0.000561055,0.000561055,0.000561055
52,1406.99,0.82495,0.55336,0.95448,0.9206,0.9063,0.96737,0.75381,0.84586,0.56383,1.00874,0.000550056,0.000550056,0.000550056
53,1429.78,0.81635,0.5485,0.94725,0.95752,0.91144,0.97793,0.75722,0.86954,0.58375,1.02673,0.000539057,0.000539057,0.000539057
54,1453.19,0.79768,0.53703,0.9424,0.92125,0.94127,0.97371,0.75976,0.82337,0.57315,0.99657,0.000528058,0.000528058,0.000528058
55,1477.62,0.79792,0.55163,0.93454,0.93903,0.91081,0.97262,0.76033,0.8281,0.55885,1.00063,0.000517059,0.000517059,0.000517059
56,1501.13,0.80164,0.5467,0.94609,0.93476,0.94202,0.97946,0.75668,0.83838,0.55199,1.00483,0.00050606,0.00050606,0.00050606
57,1524.3,0.77696,0.52104,0.92708,0.96218,0.91256,0.97998,0.7536,0.85474,0.54205,1.00423,0.000495062,0.000495062,0.000495062
58,1548.19,0.7973,0.53374,0.94502,0.9499,0.91954,0.97696,0.7716,0.8019,0.58857,0.99335,0.000484063,0.000484063,0.000484063
59,1571.37,0.78591,0.52741,0.93222,0.95695,0.91853,0.97558,0.75699,0.81029,0.55554,0.98571,0.000473064,0.000473064,0.000473064
60,1594.76,0.77638,0.51669,0.93938,0.96257,0.91844,0.97976,0.76516,0.78799,0.54866,0.98665,0.000462065,0.000462065,0.000462065
61,1618.71,0.77959,0.5219,0.92952,0.91715,0.96155,0.95844,0.76133,0.80078,0.54488,0.984,0.000451066,0.000451066,0.000451066
62,1641.34,0.7657,0.51798,0.92744,0.92123,0.94997,0.96269,0.7463,0.85013,0.53167,1.00565,0.000440067,0.000440067,0.000440067
63,1665.44,0.77638,0.5196,0.93838,0.91667,0.94092,0.96588,0.76415,0.88096,0.5399,1.01363,0.000429068,0.000429068,0.000429068
64,1689.3,0.73844,0.48902,0.92167,0.96798,0.93162,0.98005,0.75527,0.83949,0.52029,0.99543,0.000418069,0.000418069,0.000418069
65,1712.18,0.75597,0.50125,0.92286,0.93412,0.93069,0.96859,0.77396,0.8466,0.56102,1.00546,0.00040707,0.00040707,0.00040707
66,1735.97,0.75084,0.50086,0.92907,0.95841,0.93428,0.97486,0.76504,0.82852,0.52206,0.98499,0.000396071,0.000396071,0.000396071
67,1759.21,0.7168,0.47518,0.9126,0.94066,0.97406,0.98594,0.76974,0.83045,0.51931,0.99746,0.000385073,0.000385073,0.000385073
68,1782.15,0.73041,0.48551,0.908,0.95446,0.9192,0.97472,0.76567,0.81691,0.53523,0.99329,0.000374074,0.000374074,0.000374074
69,1806.37,0.74577,0.48801,0.92005,0.96618,0.93632,0.98467,0.77655,0.8124,0.49535,0.99221,0.000363075,0.000363075,0.000363075
70,1829.52,0.72517,0.47627,0.91576,0.95422,0.95002,0.98047,0.77301,0.81125,0.51479,0.99002,0.000352076,0.000352076,0.000352076
71,1852.04,0.72906,0.48524,0.91771,0.96067,0.91763,0.97629,0.76417,0.8128,0.52269,1.00029,0.000341077,0.000341077,0.000341077
72,1875.87,0.70849,0.46383,0.90616,0.97252,0.93005,0.97313,0.78412,0.82965,0.52055,1.01008,0.000330078,0.000330078,0.000330078
73,1899.44,0.722,0.4777,0.91005,0.9736,0.92893,0.97949,0.77068,0.8202,0.52059,0.98989,0.000319079,0.000319079,0.000319079
